,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,Churn,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
0,False,True,False,1,False,False,False,True,False,False,False,False,True,29.85,29.85,False,True,False,False,True,False,False,False,False,True,False
1,False,False,False,34,True,False,True,False,True,False,False,False,False,56.95,1889.5,False,True,False,False,False,True,False,False,False,False,True
2,False,False,False,2,True,False,True,True,False,False,False,False,True,53.85,108.15,True,True,False,False,True,False,False,False,False,False,True
3,False,False,False,45,False,False,True,False,True,True,False,False,False,42.3,1840.75,False,True,False,False,False,True,False,True,False,False,False
4,False,False,False,2,True,False,False,False,False,False,False,False,True,70.7,151.65,True,False,True,False,True,False,False,False,False,True,False
5,False,False,False,8,True,True,False,False,True,False,True,True,True,99.65,820.5,True,False,True,False,True,False,False,False,False,True,False
6,False,False,True,22,True,True,False,True,False,False,True,False,True,89.1,1949.4,False,False,True,False,True,False,False,False,True,False,False
7,False,False,False,10,False,False,True,False,False,False,False,False,False,29.75,301.9,False,True,False,False,True,False,False,False,False,False,True
8,False,True,False,28,True,True,False,False,True,True,True,True,True,104.8,3046.05,True,False,True,False,True,False,False,False,False,True,False
9,False,False,True,62,True,False,True,True,False,False,False,False,False,56.15,3487.95,False,True,False,False,False,True,False,True,False,False,False
10,False,True,True,13,True,False,True,False,False,False,False,False,True,49.95,587.45,False,True,False,False,True,False,False,False,False,False,True
11,False,False,False,16,True,False,False,False,False,False,False,False,False,18.95,326.8,False,False,False,True,False,False,True,False,True,False,False
12,False,True,False,58,True,True,False,False,True,False,True,True,False,100.35,5681.1,False,False,True,False,False,True,False,False,True,False,False
13,False,False,False,49,True,True,False,True,True,False,True,True,True,103.7,5036.3,True,False,True,False,True,False,False,True,False,False,False
14,False,False,False,25,True,False,True,False,True,True,True,True,True,105.5,2686.05,False,False,True,False,True,False,False,False,False,True,False
15,False,True,True,69,True,True,True,True,True,True,True,True,False,113.25,7895.15,False,False,True,False,False,False,True,False,True,False,False
16,False,False,False,52,True,False,False,False,False,False,False,False,False,20.65,1022.95,False,False,False,True,False,True,False,False,False,False,True
17,False,False,True,71,True,True,True,False,True,False,True,True,False,106.7,7382.25,False,False,True,False,False,False,True,True,False,False,False
18,False,True,True,10,True,False,False,False,True,True,False,False,False,55.2,528.35,True,True,False,False,True,False,False,False,True,False,False
19,False,False,False,21,True,False,False,True,True,False,False,True,True,90.05,1862.9,False,False,True,False,True,False,False,False,False,True,False
